time,Pipe-T,Ambient-T,Heater-PWM,Fan-PWM,Traj y,Traj dy,Traj ddy,Dist y
5.02,21.321290322580648,20.934193548387096,0.25,0.25,0.25,0.0,0.0,0.25
5.04,19.256774193548388,20.16,0.25,0.25,0.25,0.0,0.0,0.25
5.06,19.256774193548388,19.385806451612904,0.25,0.25,0.25,0.0,0.0,0.25
5.08,18.998709677419356,20.676129032258064,0.25,0.25,0.25,0.0,0.0,0.25
5.1,18.86967741935484,19.256774193548388,0.25,0.25,0.25,0.0,0.0,0.25
5.12,18.740645161290324,19.256774193548388,0.25,0.25,0.25,0.0,0.0,0.25
5.14,19.643870967741936,19.643870967741936,0.25,0.25,0.25,0.0,0.0,0.25
5.16,20.030967741935484,19.643870967741936,0.25,0.25,0.25,0.0,0.0,0.25
5.18,19.901935483870968,18.86967741935484,0.25,0.25,0.25,0.0,0.0,0.25
5.2,19.772903225806452,20.16,0.25,0.25,0.25,0.0,0.0,0.25
5.22,17.063225806451616,16.030967741935484,0.25,0.25,0.25,0.0,0.0,0.25
5.24,18.482580645161292,18.740645161290324,0.25,0.25,0.25,0.0,0.0,0.25
5.26,18.482580645161292,18.86967741935484,0.25,0.25,0.25,0.0,0.0,0.25
5.28,19.51483870967742,19.127741935483872,0.25,0.25,0.25,0.0,0.0,0.25
5.3,19.127741935483872,17.837419354838712,0.25,0.25,0.25,0.0,0.0,0.25
5.32,18.998709677419356,18.482580645161292,0.25,0.25,0.25,0.0,0.0,0.25
5.34,18.22451612903226,17.837419354838712,0.25,0.25,0.25,0.0,0.0,0.25
5.36,18.095483870967744,18.86967741935484,0.25,0.25,0.25,0.0,0.0,0.25
5.38,19.901935483870968,20.289032258064516,0.25,0.25,0.25,0.0,0.0,0.25
5.4,20.16,19.51483870967742,0.25,0.25,0.25,0.0,0.0,0.25
5.42,18.740645161290324,19.772903225806452,0.25,0.25,0.25,0.0,0.0,0.25
5.44,18.998709677419356,18.998709677419356,0.25,0.25,0.25,0.0,0.0,0.25
5.46,19.256774193548388,17.837419354838712,0.25,0.25,0.25,0.0,0.0,0.25
5.48,18.86967741935484,19.385806451612904,0.25,0.25,0.25,0.0,0.0,0.25
5.5,18.611612903225808,18.740645161290324,0.25,0.25,0.25,0.0,0.0,0.25
5.52,19.643870967741936,19.772903225806452,0.25,0.25,0.25,0.0,0.0,0.25
5.54,19.772903225806452,20.030967741935484,0.25,0.25,0.25,0.0,0.0,0.25
5.56,19.772903225806452,19.127741935483872,0.25,0.25,0.25,0.0,0.0,0.25
5.58,20.030967741935484,18.482580645161292,0.25,0.25,0.25,0.0,0.0,0.25
5.6,19.127741935483872,17.966451612903228,0.25,0.25,0.25,0.0,0.0,0.25
5.62,20.547096774193548,19.51483870967742,0.25,0.25,0.25,0.0,0.0,0.25
5.64,20.16,19.127741935483872,0.25,0.25,0.25,0.0,0.0,0.25
5.66,19.772903225806452,18.86967741935484,0.25,0.25,0.25,0.0,0.0,0.25
5.68,18.611612903225808,18.482580645161292,0.25,0.25,0.25,0.0,0.0,0.25
5.7,19.385806451612904,18.998709677419356,0.25,0.25,0.25,0.0,0.0,0.25
5.72,19.772903225806452,19.772903225806452,0.25,0.25,0.25,0.0,0.0,0.25
5.74,18.740645161290324,18.740645161290324,0.25,0.25,0.25,0.0,0.0,0.25
5.76,19.256774193548388,19.385806451612904,0.25,0.25,0.25,0.0,0.0,0.25
5.78,19.901935483870968,18.740645161290324,0.25,0.25,0.25,0.0,0.0,0.25
5.8,19.256774193548388,18.353548387096776,0.25,0.25,0.25,0.0,0.0,0.25
5.82,19.256774193548388,19.385806451612904,0.25,0.25,0.25,0.0,0.0,0.25
5.84,20.418064516129032,18.86967741935484,0.25,0.25,0.25,0.0,0.0,0.25
5.86,19.51483870967742,19.643870967741936,0.25,0.25,0.25,0.0,0.0,0.25
5.88,18.86967741935484,18.998709677419356,0.25,0.25,0.25,0.0,0.0,0.25
5.9,18.998709677419356,18.353548387096776,0.25,0.25,0.25,0.0,0.0,0.25
5.92,18.998709677419356,19.385806451612904,0.25,0.25,0.25,0.0,0.0,0.25
5.94,19.385806451612904,18.353548387096776,0.25,0.25,0.25,0.0,0.0,0.25
5.96,19.51483870967742,19.256774193548388,0.25,0.25,0.25,0.0,0.0,0.25
5.98,19.256774193548388,17.966451612903228,0.25,0.25,0.25,0.0,0.0,0.25
6.0,19.643870967741936,18.22451612903226,0.25,0.25,0.25,0.0,0.0,0.25
6.02,20.289032258064516,18.611612903225808,0.25,0.25,0.25,0.0,0.0,0.25
6.04,19.901935483870968,18.740645161290324,0.25,0.25,0.25,0.0,0.0,0.25
6.06,19.127741935483872,18.095483870967744,0.25,0.25,0.25,0.0,0.0,0.25
6.08,19.256774193548388,19.127741935483872,0.25,0.25,0.25,0.0,0.0,0.25
6.1,19.256774193548388,19.127741935483872,0.25,0.25,0.25,0.0,0.0,0.25
6.12,19.643870967741936,18.095483870967744,0.25,0.25,0.25,0.0,0.0,0.25
6.14,19.901935483870968,19.51483870967742,0.25,0.25,0.25,0.0,0.0,0.25
6.16,19.772903225806452,18.86967741935484,0.25,0.25,0.25,0.0,0.0,0.25
6.18,19.643870967741936,19.127741935483872,0.25,0.25,0.25,0.0,0.0,0.25
6.2,18.998709677419356,18.22451612903226,0.25,0.25,0.25,0.0,0.0,0.25
6.22,18.611612903225808,18.86967741935484,0.25,0.25,0.25,0.0,0.0,0.25
6.24,18.482580645161292,18.740645161290324,0.25,0.25,0.25,0.0,0.0,0.25
